id,brandName,productDisplayName,description,style_note,price,discountedPrice,articleType,gender,masterCategory,subCategory,season,usage,myntraRating,baseColour,fabric,fit,neck,occasion
07441e67-a44b-4b28-8311-cb689ef1dfea,Palm Tree,Palm Tree Girls Sp Jace Sko White Skirts,"<p><strong>Wash Care</strong><br /> <span style=""font-style: normal; font-weight: normal;"">Machine Wash separately in cold water<br /> Use mild detergent<br /> Do not Bleach<br /> Avoid Soaking<br /> Remove promptly<br /> Line Dry inside out in shade<br /> Warm iron only<br /> Do Not Iron Directly on Print/embroidery</span></p>",NaN,649.0,324.0,Skirts,Women,Apparel,Bottomwear,Summer,Casual,1.0,White,NaN,NaN,NaN,NaN
1aa704df-166c-45e1-8e5b-b209f61a460a,Palm Tree,Palm Tree Kids Girls Sp Jema Skt Blue Skirts,"<p><strong>Wash Care</strong><br /> <span style=""font-style: normal; font-weight: normal;"">Machine Wash separately in cold water<br /> Use mild detergent<br /> Do not Bleach<br /> Avoid Soaking<br /> Remove promptly<br /> Line Dry inside out in shade<br /> Warm iron only<br /> Do Not Iron Directly on Print/embroidery</span></p>",NaN,549.0,274.0,Skirts,Women,Apparel,Bottomwear,Summer,Casual,1.0,Blue,NaN,NaN,NaN,NaN
c61aa147-fff1-40e8-b881-c69cdbe72a3e,Palm Tree,Palm Tree Kids Sp Jema Skt Blue Skirts,"<p><strong>Wash Care</strong><br /> <span style=""font-style: normal; font-weight: normal;"">Machine Wash separately in cold water<br /> Use mild detergent<br /> Do not Bleach<br /> Avoid Soaking<br /> Remove promptly<br /> Line Dry inside out in shade<br /> Warm iron only<br /> Do Not Iron Directly on Print/embroidery</span></p>",NaN,549.0,274.0,Skirts,Women,Apparel,Bottomwear,Summer,Casual,1.0,Blue,NaN,NaN,NaN,NaN
fbd83629-6b8a-4e78-8352-b7aa55c6df2e,Nike,Nike Women As Nike Eleme White T-Shirt,"<p><strong>Composition</strong><br /> White high collared t-shirt made of 92% nylon and 8% spandex, has a half-length zipper, raglan sleeves with flat-seam design for range of motion and reduced irritation, and a reflective loop on centre-back neck to keep media-player cords out of the way<br /> <br /> <span style=""font-style: normal; font-weight: bold;"">Fitting<br /> </span><span style=""font-style: normal; font-weight: normal;"">Comfort<br /> <br /><strong> Wash care</strong><br /> Machine wash cold at 30 degrees with like colours<br /> Do not bleach<br /> Tumble dry low<br /> Remove immediately/do not allow to lay on itself when wet<br /> Cool iron, but do not iron on design<br /> Do not dry clean<br /> <br /> This cold-weather running shirt is made of soft, suede Dri-Fit fabric that wicks sweat away from the body to the fabric's surface, where it quickly evaporates. Spandex fibres allow it to stretch for better mobility and a comfortable, athletic fit. <br /> <br /> The Element Half-Zip features a fitted design that stays out of your way as you run. Ergonomic seams map the natural contours of your body to help reduce friction and chafing while providing great range of motion. A stand-up collar delivers extra warmth and protection when you need it, and mesh underarm vents increase airflow in this high-heat area to help you stay dry and comfortable. <br /> <br /> Rough on the weather, soft on you, the nike Element Half-Zip women's Running top helps you stay dry, comfortable and distraction-free from the first mile to the last. </span></p>",NaN,2695.0,2695.0,Tshirts,Women,Apparel,Topwear,Fall,Sports,1.0,White,NaN,NaN,NaN,NaN
9ce22c6f-12b4-40d2-95bb-6576193b9ebd,Nike,Nike Men As 7 Sw Temp Grey Shorts,"<p><span style=""font-weight: bold;"">Composition</span><br />Grey&nbsp;<a href='/men-shorts?src=desc' class='seolink'>shorts</a> made of 86% polyester and 14% spandex, has an elastic waist with interior drawcord and a mesh side panel<br /> <br /> <span style=""font-style: normal; font-weight: bold;"">Fitting<br /> </span><span style=""font-style: normal; font-weight: normal;"">Comfort<br /> <br /><strong> Wash care</strong><br /> Machine wash cold at 30 degrees with like colours<br /> Do not bleach<br /> Tumble dry low<br /> Remove immediately/do not allow to lay on itself when wet<br /> Cool iron, but do not iron on design<br /> Do not dry clean<br /> <br /> Scorers and defenders alike require maximum range of motion to lead their teams to victory, and they'll get plenty of it in these nike shorts. With sweat-wicking fabric and strategic ventilation, these shorts keep them focused on the big win.</span></p>",NaN,1995.0,1995.0,Shorts,Men,Apparel,Bottomwear,Fall,Sports,1.0,Grey,NaN,NaN,NaN,NaN
2e467cd2-3941-43b2-ad55-f3d4100ec7d8,Nike,Nike Men As Ss Trainin Blue T-Shirts,"<p style=""text-align: justify;""><strong>Composition</strong><br />Blue T-shirt made of 100% polyester Dri-Fit fabric, has a round neck, short raglan sleeves, black panel on the front with diagonal grey mesh panel and blue panel towards the hemline, mesh panels on the sides, printed seal on the upper back neck and printed swoosh logo on the upper right chest <br /><br /><strong>Fitting</strong><br />Regular<br /><br /><strong>Wash care</strong><br />Machine wash cold with like colours<br />Do not bleach <br />Tumble dry on low<br />Cool iron only<br />Do not dry clean<br />Do not iron on print or embroidery<br /><br />Take your training to the next level in this blue T-shirt from nike. The mesh Dri-Fit fabric pulls sweat away from the skin to help keep you cool and comfortable, while the sporty design with the raglan sleeves gives an added edge. Team this with track pants and performance shoes so that you can train longer and better.</p>",NaN,1495.0,1495.0,Tshirts,Men,Apparel,Topwear,Fall,Sports,1.0,Blue,Synthetic,Regular Fit,Round Neck,NaN
9219ceae-bf88-464d-9078-bd2755153f53,Nike,Nike Men AS T90 Black Tshirts,"<p style=""text-align: justify;""><strong>Composition</strong><br />Black T-shirt made of 65% cotton and 35% polyester, has a round ribbed neckline, short sleeves, grey panel detailing on the side seams, rubber print swoosh logo on the upper right chest and T90 transferred onto the upper left chest<br /><br /><strong>Fitting</strong><br />Regular<br /><br /><strong>Wash care</strong><br />Machine wash warm with like colours<br />Wash inside out<br />Do not bleach <br />Tumble dry on low<br />Warm iron<br />Do not dry clean<br /><br />Gear up for an aggressive game of football in this black T90 T-shirt from nike. The classic design is updated with grey panel detailing and bold T90 and nike logos, while the fabric keeps you fresh and comfortable during extended training sessions. Team it&nbsp; with track pants and performance shoes.</p>",NaN,1495.0,1495.0,Tshirts,Men,Apparel,Topwear,Fall,Sports,1.0,Black,Synthetic,Regular Fit,Round Neck,NaN
563bce09-d1e6-4213-99a5-b6917db4df35,Carlton London,Carlton London Men Casual Navy Blue Casual Shoes,<p>NA</p>,<p>NA</p>,2495.0,2495.0,Casual Shoes,Men,Footwear,Shoes,Winter,Casual,0.0,Navy Blue,NaN,NaN,NaN,Everyday
5e630680-2bdf-4a1f-9343-6d298c7f02c6,Nike,Nike Women As Trophy Swo White T-Shirts,"<p><strong>Composition</strong><br /> White round neck t-shirt with short sleeves, made of  100% cotton, has fabric tape detailing on the inseam of the neckline, graphic print on the front and nike swoosh printed near the hem<br /> <span style=""font-style: normal; font-weight: normal;""><br /> </span><span style=""font-style: normal; font-weight: bold;"">Fitting<br /> </span><span style=""font-style: normal; font-weight: normal;"">Regular<br /> <br /><strong> Wash care</strong><br /> Machine wash in cold water at 30 degrees with like colours<br /> Do not use bleach or softeners<br /> Remove immediately<br /> Do not allow to lay on itself when wet<br /> Tumble dry low<br /> Cool iron<br /> Do not iron directly on print/trims/ logo<br /> Do not dry clean<br /> <br /> You know how they say, &ldquo;when in doubt, wear white&rdquo;.... This white t-shirt from nike takes this saying and makes it better by adding funky graphic print on the front! The multi coloured print is eye-catching and funky, which will make you stand out in a sea of people! Plus, the cotton fabric will keep you comfortable all day long. Team it with jeans or <a href='/men-shorts?src=desc' class='seolink'>shorts</a> and casual shoes to look fab.</span></p>",NaN,1095.0,1095.0,Tshirts,Women,Apparel,Topwear,Fall,Sports,1.0,White,Synthetic,Regular Fit,Round Neck,NaN
f2b876df-e83a-47d9-9d2d-932315249863,Nike,Nike Men Town Navy Blue T-Shirts,"<p><strong>Composition</strong><br /> Navy blue round neck t-shirt with short sleeves, made of  100% cotton, has fabric tape detailing on the inseam of the neckline, graphic print on the front, and nike Swoosh printed on the left sleeve<br /> <br /> <span style=""font-style: normal; font-weight: bold;"">Fitting<br /> </span><span style=""font-style: normal; font-weight: normal;"">Regular<br /> <br /><strong> Wash care</strong><br /> Machine wash in cold water at 30 degrees with like colours<br /> Do not use bleach or softeners<br /> Remove immediately<br /> Do not allow to lay on itself when wet<br /> Tumble dry low<br /> Cool iron<br /> Do not iron directly on print/trims/ logo<br /> Do not dry clean<br /> <br /> When you're in the mood to look casual and hip, try this navy blue t-shirt from nike. You just cannot go wrong in this tee, what with its clean silhouette and attractive graphic print. Perfect for all-day wear. Pair it with jeans or <a href='/men-shorts?src=desc' class='seolink'>shorts</a> and walk around in style.</span></p>",NaN,1045.0,1045.0,Tshirts,Men,Apparel,Topwear,Fall,Sports,1.0,Navy Blue,Synthetic,Regular Fit,Round Neck,NaN
